date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2016-1-6T4Z,91,97,100,100,71,100,87,93,86,54,93,71,74,64,79,74,63,63,67,59,68,70,62,64,61,73,73,33,74,55,70,64,49,96,96,65
2016-1-6T5Z,86,86,37,100,66,81,93,93,89,51,100,65,65,74,79,79,63,73,67,59,62,66,73,77,78,74,78,38,85,48,70,58,46,93,93,58
2016-1-6T6Z,100,86,36,100,66,81,93,93,89,51,100,65,65,59,79,68,68,73,73,50,58,75,73,82,78,67,78,41,79,51,70,51,100,87,87,51
2016-1-6T7Z,80,100,34,100,76,87,100,100,89,60,93,70,65,74,86,68,68,73,67,46,62,75,79,82,85,67,57,78,79,52,70,48,44,67,67,45
2016-1-6T8Z,93,91,34,100,71,100,85,93,89,54,93,70,70,64,86,85,68,68,79,54,62,76,62,88,78,73,85,57,72,56,87,39,47,55,55,39
2016-1-6T9Z,80,100,81,100,87,67,93,93,90,58,100,70,75,59,79,79,68,58,67,46,62,81,57,88,84,79,67,85,72,72,87,42,26,48,48,40
2016-1-6T10Z,93,92,81,100,87,98,93,93,86,51,93,70,75,69,86,85,85,63,73,43,73,93,67,82,84,79,85,48,72,43,74,40,26,48,48,40
2016-1-6T11Z,93,100,81,100,93,62,87,87,89,51,93,65,87,64,85,74,68,63,67,53,67,100,62,82,78,79,78,85,72,61,74,48,98,48,48,37
2016-1-6T12Z,93,100,93,93,87,98,93,100,100,51,87,80,93,80,85,85,85,68,73,68,73,81,67,88,78,79,92,67,72,47,74,35,22,45,45,35
2016-1-6T13Z,86,86,87,100,81,76,87,93,100,58,93,75,93,80,85,68,73,62,73,53,73,93,57,88,84,79,79,52,72,56,74,52,20,45,45,37
2016-1-6T14Z,93,87,90,100,82,80,86,94,97,58,92,77,94,80,86,68,80,59,68,49,76,93,55,91,75,74,70,49,79,67,74,45,23,45,45,52
2016-1-6T15Z,93,100,100,93,87,97,81,93,93,68,93,70,87,86,85,74,79,58,73,50,62,93,36,93,67,73,58,44,76,36,74,45,23,47,47,48
2016-1-6T16Z,93,96,69,95,87,97,78,90,93,57,90,70,89,83,82,69,76,48,64,44,71,90,35,88,54,50,48,31,62,28,79,55,28,71,71,55
2016-1-6T17Z,94,92,29,100,87,98,76,87,93,44,87,70,93,80,79,64,74,37,55,38,83,87,34,83,37,52,37,51,66,18,81,58,43,75,75,57
2016-1-6T18Z,93,86,81,93,87,67,62,62,93,44,76,70,87,80,80,52,64,33,47,36,43,81,48,73,18,47,31,18,58,76,91,71,36,95,95,71
2016-1-6T19Z,100,86,75,93,93,67,63,62,93,42,100,75,93,80,94,45,59,36,48,12,44,76,42,73,32,47,29,19,58,76,90,76,41,94,94,76
2016-1-6T20Z,87,93,33,93,93,71,71,62,100,35,99,75,92,80,94,45,60,36,48,13,44,77,42,74,32,47,29,18,79,76,90,76,41,94,94,76
2016-1-6T21Z,87,86,33,87,100,67,66,58,93,33,87,75,93,74,94,42,64,33,48,12,44,76,45,69,24,47,21,19,79,16,89,75,47,94,94,75
2016-1-6T22Z,93,80,51,84,91,69,66,54,89,37,87,70,93,80,94,45,51,33,59,45,49,81,59,69,30,59,65,25,79,56,88,71,100,94,94,71
2016-1-6T23Z,94,75,71,81,82,72,66,51,86,42,87,70,92,80,96,45,51,33,59,44,55,81,59,69,37,61,64,49,77,100,87,70,100,93,93,72
2016-1-7T0Z,93,75,59,83,84,79,70,58,86,46,89,78,93,85,94,46,62,36,60,50,56,81,66,73,44,80,68,29,73,68,88,71,44,94,94,71
2016-1-7T1Z,93,75,48,87,87,87,76,66,86,51,93,87,93,90,92,48,74,41,62,56,59,81,73,77,53,79,73,31,74,36,87,71,50,93,93,71
2016-1-7T2Z,93,85,73,93,92,93,76,76,80,62,96,89,95,91,94,53,86,61,68,48,73,81,72,77,59,74,69,39,79,67,87,76,100,92,92,76
2016-1-7T3Z,93,86,76,86,76,100,66,81,93,78,100,93,100,93,92,52,55,55,68,47,88,80,80,77,58,75,73,38,77,46,87,76,93,90,90,76
2016-1-7T4Z,93,83,58,89,81,100,73,73,83,78,93,93,93,100,92,60,55,68,74,41,89,76,86,93,62,87,85,36,73,50,87,76,50,81,81,76
2016-1-7T5Z,94,80,41,93,87,100,81,66,74,80,92,93,93,99,92,59,55,68,73,41,88,76,85,93,67,86,84,57,74,50,86,75,60,84,84,76
2016-1-7T6Z,93,97,51,93,81,100,87,93,85,79,100,93,82,86,96,56,55,68,50,45,68,87,78,93,73,87,58,85,67,38,87,58,50,66,66,58
2016-1-7T7Z,100,80,87,100,87,76,93,93,80,80,100,100,100,100,95,74,47,68,68,52,68,81,69,100,78,80,92,46,67,45,92,52,47,51,51,52
2016-1-7T8Z,100,96,87,100,87,71,87,100,87,74,100,93,100,93,95,60,55,68,58,56,89,87,69,93,78,79,63,85,67,67,92,40,32,45,45,43
2016-1-7T9Z,100,96,44,100,93,100,81,100,87,80,87,93,100,93,92,60,74,74,68,47,74,81,74,88,78,92,79,49,62,57,92,40,34,45,45,40
2016-1-7T10Z,93,86,93,100,87,71,81,87,80,80,93,100,100,93,94,60,59,80,58,52,74,87,64,93,78,74,63,85,62,72,92,56,28,45,45,43
2016-1-7T11Z,100,92,48,100,100,93,81,100,86,80,100,100,93,100,92,60,74,92,63,60,74,81,76,100,85,79,85,53,62,45,82,40,27,39,39,40
2016-1-7T12Z,93,92,48,100,100,92,81,99,86,80,99,100,93,99,92,61,74,91,63,60,74,81,76,100,84,73,83,50,62,45,82,42,33,45,45,42
2016-1-7T13Z,94,92,65,100,100,76,81,93,86,80,93,100,100,93,92,80,74,80,74,75,86,93,76,100,78,73,65,47,62,62,81,42,34,45,45,42
