date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver
2.01301E+11,277.99,274.63,280.41,277.23,282.19,280.36,274.99,277.84,264.38,267.14
2.01301E+11,277.75,274.68,280.46,277.23,281.77,280.25,274.99,277,262.75,267.18
2.01301E+11,277.79,274.68,280.65,277.23,281.28,280.99,275.28,277.05,263.29,267.21
2.01301E+11,278.38,274.56,280.8,277.53,281.08,281.4,275.19,276.79,263.29,265.89
2.01301E+11,278.19,274.5,280.56,277.37,281.27,281.15,275.14,278.03,265.42,268.31
2.01301E+11,277.78,274.74,280.4,277.66,281.76,281.3,275.65,280.35,266.87,272.63
2.01301E+11,278.3,274.99,280.75,278.07,282.89,283.54,278.12,283.91,270.06,277.39
2.01301E+11,278.33,275.57,281.19,278.83,284.69,285.09,280.6,287.23,274.13,279.34
2.01301E+11,278.35,276.34,281.66,279.31,285.8,286.34,281.56,288.49,275.47,281.43
2.01301E+11,278.18,276.81,282.1,279.78,286.01,286.65,282.16,289.59,276.31,282.41
2.01301E+11,277.97,276.99,282.38,279.88,286.52,286.63,283.11,290.08,277.64,282.27
2.01301E+11,278.01,277.52,282.63,279.75,286.44,286.02,282.61,290.67,277.29,281.33
2.01301E+11,277.87,277.45,283.28,279.54,285.55,286.15,283.12,290.74,276.95,278.21
2.01301E+11,277.83,277.45,282.99,279.36,285.1,285.53,282.9,289.73,274.6,275.27
2.01301E+11,277.74,277.21,282.12,279.2,284.42,284.31,280.96,286.83,273.04,274.11
2.01301E+11,277.29,276.91,280.76,279.08,284.08,283.34,278.7,284.95,271.16,273.89
2.01301E+11,277.38,276.86,280.02,279.18,283.97,283.12,277.75,283.87,271.75,274.89
2.01301E+11,277.3,277.09,280.07,278.84,283.61,282.72,276.83,282.38,272.15,274.69
2.01301E+11,276.99,277.11,279.17,278.35,282.96,282.58,276.94,281.22,270.71,274.8
2.01301E+11,277.18,277.67,278.79,277.65,283.01,283.1,276.37,281.06,271.75,275.21
2.01301E+11,276.77,277.62,278.26,277.65,282.45,282.79,276.63,281.09,272,276.11
2.01301E+11,276.57,277.8,278.1,277.69,282.03,282.41,276.43,281,271.45,275.87
2.01301E+11,276.45,277.94,277.56,277.87,281.93,282.3,275.85,279.03,270.28,274.99
2.01301E+11,276.4,278.51,277.27,278.05,280.93,281.73,277.51,278.33,270,275.25
2.01301E+11,276.31,278.51,277.01,278.34,281,281.21,277.04,277.29,270.18,275.27
2.01301E+11,276.12,278.98,277.04,278.74,281.32,280.91,277.18,276.53,269.97,273.88
2.01301E+11,275.94,279.38,276.44,279.22,280.96,280.91,277.2,275.68,269.83,273.02
2.01301E+11,275.83,279.72,277.25,279.81,280.42,280.71,276.48,275.68,269.61,271.99
2.01301E+11,275.69,281.02,277.06,280.35,280.08,280.59,275.82,277.49,270.04,272.17
2.01301E+11,275.83,281.42,277.42,280.89,281.79,281.5,277.88,279.62,272.5,275.03
2.01301E+11,276.41,281.61,278.65,281.45,284.84,283.54,281.48,282.52,274.61,278.61
2.01301E+11,276.76,282.26,281.09,281.55,287.62,285.33,283.07,284.99,277.2,280.91
2.01301E+11,277.07,282.62,283.39,282.22,289.36,286.72,285.08,286.12,278.84,282.01
2.01301E+11,276.47,282.32,283.57,281.25,291.53,289.94,285.88,288.21,278.13,281.82
2.01301E+11,278,283.58,285.32,282.64,290.65,288.69,286.76,287.66,279.44,282.74
2.01301E+11,278.47,284.06,286.29,282.85,291.29,289.68,287.6,288.43,279.74,283.1
2.01301E+11,278.26,284.3,286.91,282.55,291.39,289.06,287.79,288.12,280.02,279.85
2.01301E+11,278.25,283.94,286.28,282.1,290.44,287.93,287.16,287.11,277.46,277.83
2.01301E+11,278.16,283.31,284.99,281.81,288.77,286.49,284.79,285.01,273.34,275.95
2.01301E+11,278.16,282.66,284.12,281.23,287.24,285.29,283.12,283.68,272.86,274.59
2.01301E+11,277.86,281.91,283.1,281.18,286.2,284.03,281.89,282.79,272.64,273.93
2.01301E+11,277.7,281.44,282.64,280.86,284.68,282.82,282.07,281.02,271.57,273.51
2.01301E+11,277.46,281.09,281.88,280.7,283.94,281.9,281.42,281.13,271.9,272.31
2.01301E+11,276.75,280.56,281,280.63,282.92,281.02,280.37,280.45,270.4,271.89
2.01301E+11,277.25,280.33,280.68,280.52,282.46,280.67,279.91,281.16,271.35,271.84
2.01301E+11,276.69,280.09,280.41,280.23,282.03,280.02,280.06,280.79,271.45,272.85
2.01301E+11,276.59,280.12,280.24,280.15,281.35,279.82,280.46,280.49,270.63,274.11
2.01301E+11,276.49,280.15,280.07,280.06,280.66,279.62,280.86,280.19,269.8,275.36
2.01301E+11,276.67,280.26,279.2,280.05,280.38,278.98,278.69,277.37,268.75,274.64
2.01301E+11,276.67,280.15,279.21,280.02,280.25,278.95,278.44,276.62,268.98,274.85
2.01301E+11,276.66,280.03,279.21,279.98,280.12,278.91,278.18,275.86,269.21,275.05
2.01301E+11,276.62,280.39,279.33,279.16,280.05,278.13,277.96,275.11,268.35,275.43
2.01301E+11,276.44,280.86,279.62,278.73,280.53,279.36,278.51,276.67,270.65,276.48
2.01301E+11,276.79,281.49,279.89,278.26,282.17,281.49,280.2,279.66,272.12,280.09
2.01301E+11,276.86,282.09,281.32,278.21,285.44,284.81,282.96,282.78,275.3,281.89
2.01301E+11,276.76,283.03,283.03,278.12,289.28,289.03,285.33,285.96,277.25,283.15
2.01301E+11,276.85,283.6,283.8,278.61,290.89,290.71,287.39,288.16,278.2,283.66
2.01301E+11,276.85,283.96,284.88,279.39,292.94,291.48,288.49,289.82,279.78,283.92
2.01301E+11,276.42,284.32,285.69,280.5,293.47,292.24,289.89,290.57,280.32,283.55
2.01301E+11,275.92,284.49,286.43,281.64,292.95,292.48,290.54,291.17,280.21,283.3
2.01301E+11,275.88,284.73,286.35,282.71,291.74,291.74,290.62,291.29,279.26,281.19
2.01301E+11,275.79,284.73,285.36,283.29,290.39,289.63,289.56,289.78,277.15,278.78
2.01301E+11,276.41,284.78,284.11,283.46,288.97,287.45,287.22,287.93,275.06,276.11
2.01301E+11,276.68,283.15,282.7,282.85,286.69,285.73,286.12,284.45,274.5,276.8
2.01301E+11,276.05,280.94,282.24,280.94,284.24,283.35,286.55,282.04,271.79,274.21
2.01301E+11,274.83,274.52,281.52,275.9,279.62,278.92,281.16,277.45,265.92,267.71
2.01301E+11,274.5,274.41,281.19,275.56,278.24,277.57,275.76,276.13,264.79,267.08
2.01301E+11,276.04,280.48,281.58,279.77,282.52,281.5,277.93,279.62,264.45,270.41
2.01301E+11,275.08,279.33,281.02,277.92,280.21,279.28,270.02,277.51,263.07,269.12
2.01301E+11,276,284.37,281.17,280.61,283.55,282.33,269.67,280.19,262.47,271.8
2.01301E+11,276.91,283.88,281.32,283.31,282.54,281.96,280.62,279.51,271.01,271.5
2.01301E+11,279.85,280.59,280.66,282.69,276.05,275.47,280.11,273.37,270.58,265.25
2.01301E+11,276.81,277.29,280.33,277.75,276.91,276.62,275.66,273,265.63,264.91
2.01301E+11,277.55,278.49,280.41,277.68,276.88,277.94,278.36,272.86,266.14,267.57
2.01301E+11,273.88,273.7,280.02,271.93,278.04,279.04,272.72,272.41,260.28,266.23
2.01301E+11,273.99,273.4,280.03,271.05,278.31,280.31,274.23,272.19,259.87,267.89
2.01301E+11,273.71,276.58,280.44,274.55,279.26,279.88,276.18,278.21,270.73,273.35
2.01301E+11,273.95,275.11,280.32,272.21,279.3,281.71,277.55,275.92,268.46,273.74
2.01301E+11,273.8,277.13,280.6,274.25,280.02,281.84,279.35,279.86,277.44,277.93
2.01301E+11,277.49,279.15,282.48,276.29,287.14,289.07,283.3,289.61,278.9,284.78
2.01301E+11,274.19,277.86,283.29,276.32,289.99,291.57,281.48,285.15,277.05,282.95
2.01301E+11,274.72,276.57,282.84,276.35,286.14,287.5,281.81,286.51,280.17,283.78
2.01301E+11,275.15,279.32,284.08,277.56,290.02,290.42,285.52,291.83,281.7,283.87
2.01301E+11,275.71,279.37,283.62,277.39,290.04,289.84,285.28,294.5,284.29,284.45
2.01301E+11,276.15,278.75,284.86,278.4,285.26,289.11,288.43,293.66,283.58,280.85
2.01301E+11,275.15,278.12,283.85,278.4,289.55,287.52,285.45,291.17,279.01,279
2.01301E+11,276.83,277.39,283.18,277.98,287.6,285.92,284.28,288.15,277.58,277.8
2.01301E+11,276.83,276.66,282.13,276.77,286.48,286.07,283.84,286.84,276.15,277.15
2.01301E+11,276.83,276.04,282.89,276.98,285.92,285.63,283.4,285.54,275.34,276.7
2.01301E+11,273.66,275.42,281.49,276.23,280.62,282.29,282.72,284.23,272.43,274.32
2.01301E+11,275.81,274.95,281.89,275.47,284.9,284.76,282.04,282.86,273.72,275.8
2.01301E+11,275.25,274.94,281.6,275.47,286.01,284.85,281.73,282.19,272.44,275.45
2.01301E+11,274.91,274.93,280.86,275.69,280.48,284.93,276.86,283.07,271.13,276.69
2.01301E+11,275.81,274.93,281.99,275.89,285.72,285.1,281.09,281.53,270.72,278.57
2.01301E+11,274.15,274.93,281.59,275.62,285.72,285.34,280.92,280.19,271.01,278
2.01301E+11,275.15,275.15,281.19,275.62,285.66,280.77,282.2,280.87,269.72,275.39
2.01301E+11,274.83,275.27,281.95,275.2,285.59,285.48,283.29,281.67,267.58,275.69
2.01301E+11,274.99,275.39,281.03,275.2,285.01,285.41,283.45,279.63,268.72,274.04
2.01301E+11,274.15,275.53,280.75,274.89,277.62,285.34,283.7,279.31,268.01,273.2
2.01301E+11,274.98,275.66,281.02,275.11,285.01,284.81,283.39,279.34,268.01,275.15
2.01301E+11,273.99,275.53,281.15,275.11,283.66,284.77,283.38,280.82,269.15,277.88
2.01301E+11,274.15,275.39,280.47,274.89,284.35,285.51,283.86,282.49,271.72,275.57
2.01301E+11,273.15,273.31,282.59,274.81,285.1,285.51,283.92,281.35,272.5,276.86
2.01301E+11,274.15,275.9,283.18,275.06,285.84,285.92,284.56,286.51,276.58,278.15
2.01301E+11,275.15,276.15,283.75,275.31,286.32,285.93,285.2,286.97,277.29,277.9
2.01301E+11,276.12,276.39,283.97,275.83,286.81,286.03,285.5,287.71,279.29,276.73
2.01301E+11,276.21,276.77,284.19,276.04,286.76,286.13,283.68,287.06,278.79,276.94
2.01301E+11,275.98,277.15,284.69,276.04,286.71,286.22,282.33,286.4,278.29,277.15
2.01301E+11,275.75,277.15,285.19,276.04,285.54,285.36,279.22,286.64,277.58,276.15
2.01301E+11,273.15,277.15,283.84,276.1,284.57,284.51,281.02,285.33,277.29,275.15
2.01301E+11,272.15,276.15,282.29,276.04,283.55,284.22,280.2,284.14,276.01,274.3
2.01301E+11,272.15,275.91,281.56,276.1,282.06,284.09,279.85,284.55,276.15,273.73
2.01301E+11,272.99,275.8,281.01,275.82,281.79,284.36,279.5,284.39,275.72,274.73
2.01301E+11,272.15,275.69,280.72,275.03,282,284.23,278.74,284.16,275.29,276.74
2.01301E+11,271.99,274.91,280.42,274.55,281.87,284.09,278.18,283.16,267.61,278.74
2.01301E+11,271.98,274.42,280.36,274.15,281.57,283.61,277.61,282.15,276.58,278.8
2.01301E+11,271.81,273.95,279.87,273.06,280.88,283,277.2,280.85,277.29,279.15
2.01301E+11,270.67,273.95,280.58,273.03,280.99,282.62,276.2,280.5,277.58,277.31
2.01301E+11,270.83,273.9,280.05,272.94,280.88,281.64,275.05,279.5,276.44,276.26
2.01301E+11,270.67,273.47,280.01,272.73,280.68,282.14,274.73,278.7,275.29,276.15
2.01301E+11,270.81,273.44,279.39,272.66,280.22,280.33,275.54,278.6,276.58,273.61
2.01301E+11,270.42,273.52,279.38,272.36,279.9,278.51,275.54,276.74,275.86,273.45
2.01301E+11,269.81,272.93,280.16,271.84,279.91,277.9,273.6,275.8,273.29,273.5
2.01301E+11,269.65,272.64,279.48,272.15,279.19,277.86,273.19,275.32,272.29,274.45
2.01301E+11,269.67,272.28,278.8,272.15,278.92,280.24,273.83,277.15,271.58,276.45
2.01301E+11,269.67,272.47,279.9,271.36,281.04,281.97,275.14,279.16,272.15,276.85
2.01301E+11,270.52,272.05,280.64,271.93,283.77,283.95,277.2,279.96,273.58,269.13
2.01301E+11,269.15,273.9,281.38,272.93,284.47,284.91,278.2,281.16,273.58,270.15
2.01301E+11,271.15,275.2,282,274.23,284.48,285.06,279.38,282.36,273.58,269.15
2.01301E+11,273.28,276.15,283.47,274.32,284.99,285.06,279.61,283.75,274.29,271.26
2.01301E+11,273.75,277.15,284.93,274.87,285.49,285.06,279.89,284.35,273.58,269.85
2.01301E+11,274.21,277.15,284.85,275.66,285.35,284.33,279.66,284.05,273.29,268.61
2.01301E+11,271.15,276.69,284.73,275.24,284.53,284.37,279.66,283.75,272.29,266.55
