Username,Timestamp,Events,Time Spent,Time Helped
215,3/2/2017 16:19,HW4,5,requested again (part 4 logical setup)
262,3/2/2017 16:19,HW4,4,part 2 lowercase logic stuff
173,3/2/2017 16:19,HW4,3,"needed help with print statement output and using \t"""""
138,3/2/2017 16:26,HW4,3,"also needed help with print statement output and using \t"""""
169,3/2/2017 16:26,HW4,3,"thought that a string entered by the user had to be declared like in examples with strName = blahblah"" in order to be indexed"""
253,3/2/2017 16:34,HW4,5,was stuck on counting loops (looping thru the password to check for a !)
184,3/2/2017 16:51,HW4,3,needed to know if had to loop character by chatacter to check for !
173,3/2/2017 16:55,HW4,2,"had an if statement instead of a while for input, also needed help with logic to check for ology"""""
139,3/2/2017 16:55,HW4,5,wasn't resetting count in while loop
138,3/2/2017 17:00,HW4,3,needed help with what to do for part 4
302,3/2/2017 17:05,HW4,3,needed help with how to check for !
262,3/2/2017 17:08,HW4,4,needed help with checking every letter for ! logic
253,3/2/2017 17:20,HW4,5,needed help with structuring code- didn't have while loop to check for valid password
173,3/2/2017 17:28,HW4,3,help with string slicing
232,3/2/2017 17:30,HW4,5,"ran out of time to help student, gave advice on how to check for !"
358,3/2/2017 17:53,HW4,4,helped with formatting on my way out
137,3/3/2017 10:00,HW4,3,"Wasn't sure if using in"" and ""not in"" was allowed. (?)"""
227,3/3/2017 10:01,HW4,5,Had an unnecessary if statement in her while loop.
215,3/3/2017 10:01,HW4,5,Needed help with string slicing.
130,3/3/2017 10:01,HW4,3,student left
121,3/3/2017 10:04,HW4,4,Had while block in the wrong area.
268,3/3/2017 10:09,HW4,3,Needed help with string slicing.
215,3/3/2017 10:18,HW4,5,finding if char not in string
278,3/3/2017 10:21,HW4,5,finding if char not in string
174,3/3/2017 10:31,HW4,1,Needed help figuring out what to put in the while list to print out the checklist.
120,3/3/2017 10:35,HW4,5,Needed help with string slicing.
215,3/3/2017 10:45,HW4,5,reseting counter each time while loop runs
154,3/3/2017 10:50,HW4,4,finding if char NOT in string
173,3/3/2017 10:59,HW4,3,slicing string that has been indexed from list
138,3/3/2017 10:59,HW4,3,Needed help with string slicing.
143,3/3/2017 11:00,HW4,5,needed help with string slicing.
331,3/3/2017 11:23,HW4,3,"Did not know about len(myList), so I had to teach him lists."
138,3/3/2017 11:25,HW4,3,slicing string that has been indexed from list
108,3/3/2017 11:32,HW4,3,"student left, not sure what happened with the following names"
278,3/3/2017 11:32,HW4,5,office hours over
120,3/3/2017 11:34,HW4,5,office hours over
143,3/3/2017 11:37,HW4,5,part 3 not entering quantity when entering stop
253,3/3/2017 11:39,LAB5,5,office hours over
215,3/3/2017 11:46,HW4,5,office hours over
135,3/3/2017 13:59,HW4,3,How to use .lower to check lowercase
306,3/3/2017 14:00,HW4,5,part 3 not entering quantity when entering stop
174,3/3/2017 14:00,HW4,2,part 1 was incrementing count before printing
262,3/3/2017 14:00,HW4,4,"needed help with slicing ology"""
173,3/3/2017 14:01,HW4,3,need help checking for ! 
151,3/3/2017 14:01,HW4,2,Question about upper and lower and iterating through a string
105,3/3/2017 14:01,HW4,5,checking for !
122,3/3/2017 14:01,HW4,5,"needed help keeping track of !"""""
302,3/3/2017 14:01,HW4,3,Structuring conditionals with while loop 
278,3/3/2017 14:03,HW2,5,loop structure incorrect
184,3/3/2017 14:03,HW4,3,tried to make string into a list
274,3/3/2017 14:05,HW4,5,"wasn't sure how to iterate and check for !"""
232,3/3/2017 14:05,HW4,5,checking for !
243,3/3/2017 14:06,HW4,5,not appending last item to grocery list
108,3/3/2017 14:07,HW2,3,"understaind how to find the !"""""
350,3/3/2017 14:07,HW4,5,understanding indexing
157,3/3/2017 14:08,HW2,2,"trouble with !"" checking"""
306,3/3/2017 14:10,HW4,5,needed help with multiple parts
176,3/3/2017 14:10,HW4,5,wrong slice at end of string
258,3/3/2017 14:10,HW4,5,"trouble with !"" checking"""
242,3/3/2017 14:15,HW4,5,"trouble with slicing, actual problem is layout of loops"
120,3/3/2017 14:15,HW4,5,"trouble with checking for !"""""
297,3/3/2017 14:17,HW4,3,had trouble understanding indexing
329,3/3/2017 14:25,HW4,4,slicing string for last character
174,3/3/2017 14:26,HW4,1,trouble checking for if it's lowercase
143,3/3/2017 14:29,HW4,5,"trouble with checking for !"""""
135,3/3/2017 14:32,HW4,3,had problems with logical positioning 
262,3/3/2017 14:32,HW4,4,"needs to separate list creation from checking for ology"""""
105,3/3/2017 14:36,HW2,5,needed help understanding slicing with len
173,3/3/2017 14:40,HW4,4,"trouble with checking for !"""""
278,3/3/2017 14:44,HW2,5,Had issues with indexing syntax
108,3/3/2017 14:45,HW4,3,"had problem asking for qunatity after entering """
151,3/3/2017 14:45,HW4,2,wasn't setting boolean flags to false
306,3/3/2017 14:47,HW4,5,student left
232,3/3/2017 14:54,HW2,5,help with controlling while loops for password
244,3/3/2017 14:59,HW4,5,What the question asked. Very succicent 
121,3/3/2017 15:02,HW4,5,was missing setting a boolean
184,3/3/2017 15:04,HW4,3,"needed help slicing for ology"""""
189,3/3/2017 15:04,HW4,5,"was slicing the list, not the string"
243,3/3/2017 15:14,HW4,4,exclamation case
302,3/3/2017 15:14,HW4,4,"trouble with checking for !"""""
122,3/3/2017 15:18,HW4,5,Forgot to update counters 
258,3/3/2017 15:18,HW4,4,Missing parens
130,3/3/2017 15:20,HW4,3,checking for !
120,3/3/2017 15:21,HW4,5,extra input() at end of while loop
171,3/3/2017 15:22,HW4,4,wrong code order
274,3/3/2017 15:29,HW4,5,small problems with boolean flag
157,3/3/2017 15:32,HW4,1,"needed help determining location of """
242,3/3/2017 15:35,HW4,5,student left
108,3/3/2017 15:38,HW4,3,looping through a list and printing
135,3/3/2017 15:44,HW4,3,help with appending 10 classes
151,3/3/2017 15:55,HW4,2,was using password for both boolean and string
262,3/3/2017 16:09,HW4,4,not accessing element of list inside while loop
187,3/3/2017 16:13,HW4,3,asking for password again inside if statements
108,3/3/2017 16:14,HW4,3,appending 10 items to list
244,3/3/2017 16:30,HW4,5,infinite loop due to not updating loop variable
174,3/3/2017 16:34,HW4,2,"wasn't using a while loop to check for !"""""
258,3/3/2017 16:34,HW4,4,Variable slicing
243,3/3/2017 16:38,HW4,3,checking for !
105,3/3/2017 16:39,HW4,5,was using class as a variable
130,3/3/2017 16:42,HW4,3,checking if lowercase
171,3/3/2017 16:43,HW4,4,office hours over
189,3/3/2017 16:46,HW4,5,office hours over
151,3/3/2017 16:47,HW4,2,office hours over
331,3/3/2017 16:52,HW4,4,office hours over
302,3/3/2017 17:00,HW4,5,office hours over
187,3/3/2017 17:00,HW4,2,office hours over
305,3/6/2017 14:41,LAB5,5,need help tallying and printing votes for lab 5
305,3/6/2017 15:29,PROJ1,2,Questions about the design doc
310,3/7/2017 12:25,OTHERS,5,Questions about tabing 
174,3/7/2017 13:18,OTHERS,2,Needed help understanding return statements
310,3/7/2017 13:26,OTHERS,1,I told him why sometimes it might over tab. I told him that as long as his outputs are easy to read he should be fine when it comes to grading.
149,3/8/2017 10:19,PROJ1,2,just needed sanity check
130,3/8/2017 11:07,LAB6,3,"I helped earlier, jsut forgot to input name as I wlaked over. She needed help with how function return and call each other. "
105,3/8/2017 11:21,OTHERS,2,Functions and how their returns work
155,3/8/2017 11:42,PROJ1,3,How to comment
136,3/8/2017 12:32,PROJ1,4,"No show, also checked when it first popped jsut forgot to add name"
297,3/8/2017 13:38,PROJ1,3,Didn't realize they could use the same function to get min and max value from user
